"","V1","V2","V3","names"
"1",1,"Adelpha_diazi",0,"Adelpha diazi"
"2",2,"Baronia_brevicornis",0,"Baronia brevicornis"
"3",3,"Parides_alopius",0,"Parides alopius"
"4",4,"Papilio_esperanza",0,"Papilio esperanza"
"5",5,"Eucheira_socialis",0,"Eucheira socialis"
"6",6,"Agathymus_estelleae",0,"Agathymus estelleae"
"7",7,"Agathymus_fieldi",0,"Agathymus fieldi"
"8",8,"Agathymus_juliae",0,"Agathymus juliae"
"9",9,"Amblyscirtes_fluonia",0,"Amblyscirtes fluonia"
"10",10,"Adelpha_barnesia",0,"Adelpha barnesia"
"11",11,"Adelpha_serpa",0,"Adelpha serpa"
"12",12,"Aeria_eurimedia",0,"Aeria eurimedia"
"13",13,"Altinote_stratonice",0,"Altinote stratonice"
"14",14,"Apodemia_hepburni",0,"Apodemia hepburni"
"15",15,"Adelotypa_eudocia",0,"Adelotypa eudocia"
"16",16,"Chlosyne_marina",0,"Chlosyne marina"
"17",17,"Chlosyne_marina",0,"Chlosyne marina"
"18",18,"Chlosyne_rosita",0,"Chlosyne rosita"
"19",19,"Chlosyne_rosita",0,"Chlosyne rosita"
"20",20,"Adelpha_donysa",0,"Adelpha donysa"
"21",21,"Adelpha_erotia",0,"Adelpha erotia"
"22",22,"Actinote_melampeplos",0,"Actinote melampeplos"
"23",23,"Adelpha_basiloides",0,"Adelpha basiloides"
"24",24,"Adelpha_bredowii",0,"Adelpha bredowii"
"25",25,"Chlosyne_lacinia",0,"Chlosyne lacinia"
"26",26,"Chlosyne_leanira",0,"Chlosyne leanira"
"27",27,"Chlosyne_melanarge",0,"Chlosyne melanarge"
"28",28,"Adelpha_lycorias",0,"Adelpha lycorias"
"29",29,"Amblyscirtes_fimbriata",0,"Amblyscirtes fimbriata"
"30",30,"Memphis_pithyusa_",0,"Memphis pithyusa_"
"31",31,"Argyrogrammana_stilbe",0,"Argyrogrammana stilbe"
"32",32,"Amblyscirtes_nysa",0,"Amblyscirtes nysa"
"33",33,"Amblyscirtes_raphaeli",0,"Amblyscirtes raphaeli"
"34",34,"Anaea_wellingi",0,"Anaea wellingi"
"35",35,"Adelpha_erymanthis",0,"Adelpha erymanthis"
"36",36,"Amblyscirtes_simius",0,"Amblyscirtes simius"
"37",37,"Antigonus_emorsa",0,"Antigonus emorsa"
"38",38,"Antigonus_funebris",0,"Antigonus funebris"
"39",39,"Adelpha_ethelda",0,"Adelpha ethelda"
"40",40,"Adelpha_felderi",0,"Adelpha felderi"
"41",41,"Adelpha_fessonia",0,"Adelpha fessonia"
"42",42,"Adelpha_iphicleola",0,"Adelpha iphicleola"
"43",43,"Adelpha_iphiclus",0,"Adelpha iphiclus"
"44",44,"Memphis_xenocles",0,"Memphis xenocles"
"45",45,"Anartia_fatima",0,"Anartia fatima"
"46",46,"Anartia_jatrophae",0,"Anartia jatrophae"
"47",47,"Apodemia_phyciodoides",0,"Apodemia phyciodoides"
"48",48,"Apodemia_palmerii",0,"Apodemia palmerii"
"49",49,"Glutophrissa_drusilla",0,"Glutophrissa drusilla"
"50",50,"Apuecla_maeonis",0,"Apuecla maeonis"
"51",51,"Catonephele_mexicana",0,"Catonephele mexicana"
"52",52,"Catonephele_numilia",0,"Catonephele numilia"
"53",53,"Celaenorrhinus_eligius",0,"Celaenorrhinus eligius"
"54",54,"Adelpha_malea",0,"Adelpha malea"
"55",55,"Amblyscirtes_folia",0,"Amblyscirtes folia"
"56",56,"Anthocharis_limonea",0,"Anthocharis limonea"
"57",57,"Atrytonopsis_frappenda",0,"Atrytonopsis frappenda"
"58",58,"Atrytonopsis_edwardsi",0,"Atrytonopsis edwardsi"
"59",59,"Calephelis_maya",0,"Calephelis maya"
"60",60,"Calephelis_mexicana",0,"Calephelis mexicana"
"61",61,"Calephelis_montezuma",0,"Calephelis montezuma"
"62",62,"Atrytonopsis_zweifeli",0,"Atrytonopsis zweifeli"
"63",63,"Bolla_cybele",0,"Bolla cybele"
